price,nox,rooms,stratio
36098,5,7,18
28399,5,7,18
33400,5,7,18
28201,5,7,18
22800,5,7,18
20300,5,6,18
16100,5,5,18
22099,5,6,18
19400,5,6,18
21600,5,6,18
23799,5,7,18
16200,5,6,18
17800,5,6,18
19800,5,6,18
23100,5,6,18
21000,5,6,18
23799,5,6,20
23100,5,6,20
20400,5,6,20
18500,5,6,20
24999,5,6,20
24600,5,6,20
23001,5,6,20
22199,5,6,20
19300,5,6,17
22600,5,6,17
19800,5,6,17
17100,4,6,17
19400,4,6,17
22199,5,6,20
20700,5,6,20
21100,5,6,20
19500,5,6,20
18500,5,6,20
20548,5,6,20
19000,5,6,20
18700,5,6,20
32778,4,7,16
16500,5,7,16
23899,5,7,18
31201,5,7,18
17500,4,6,19
17200,4,6,19
23100,4,7,18
24499,4,7,17
26601,4,7,20
22900,4,6,20
24101,4,7,18
18600,4,6,18
30101,4,7,17
18200,4,6,22
20600,4,6,22
17794,8,6,20
21700,8,6,20
22700,8,6,20
22600,8,6,20
24999,8,6,20
19900,8,6,20
20800,8,5,20
16800,8,6,20
21900,7,9,20
27499,7,4,20
21900,7,5,20
23100,6,4,20
50001,6,5,20
50001,6,7,20
50001,6,7,20
50001,6,6,20
50001,7,6,20
13800,7,5,20
13800,7,4,20
15000,7,7,20
13900,7,7,20
13300,7,7,20
13100,7,6,20
10200,7,6,20
10400,7,7,20
10900,7,7,20
11300,7,6,20
12300,7,6,20
8800,7,4,20
7200,7,5,20
10500,7,5,20
7400,7,5,20
10200,7,5,20
11500,7,5,20
15100,7,6,20
23200,7,6,20
9700,7,5,20
13800,7,6,20
12700,7,6,20
13100,7,6,20
12500,7,6,20
8500,7,6,20
5000,7,5,20
6300,7,6,20
5600,7,6,20
7200,7,6,20
12100,7,6,20
8300,7,5,20
8500,7,6,20
5000,7,6,20
11900,7,4,20
27901,7,6,20
17200,6,6,20
27499,6,7,20
15000,6,6,20
17200,6,7,20
17900,6,5,20
16300,6,5,20
7012,7,5,20
7200,7,6,20
7500,7,7,20
10400,7,5,20
8800,7,6,20
8400,7,7,20
16700,7,6,20
14200,7,6,20
20800,6,6,20
13400,6,6,20
11700,6,6,20
8300,7,6,20
10200,6,6,20
10900,7,6,20
11000,7,6,20
9500,7,6,20
14500,6,6,20
14100,6,7,20
16100,6,6,20
14300,7,6,20
11700,7,6,20
13400,7,7,20
9600,7,6,20
8700,7,6,20
8400,7,6,20
12800,7,6,20
10500,7,6,20
17100,7,6,20
18400,7,6,20
15400,7,6,20
10800,7,6,20
11800,7,6,20
14900,7,6,20
12600,7,6,20
14100,7,6,20
13000,7,6,20
13400,7,7,20
15200,7,7,20
16100,7,6,20
17794,7,7,20
14900,7,7,20
14100,7,7,20
12700,7,6,20
13500,7,6,20
14900,7,6,20
20000,7,6,20
16400,7,7,20
17700,7,6,20
19500,7,6,20
20200,7,7,20
21400,7,6,20
19900,7,6,20
19000,7,6,20
19100,6,6,20
17052,6,6,20
20100,6,6,20
19900,6,6,20
19600,5,6,20
23200,6,6,20
29801,6,7,20
13800,6,5,20
13300,6,6,20
16700,6,6,20
12000,6,5,20
14600,6,6,20
21400,6,6,20
23001,5,6,20
23699,5,7,20
24999,5,7,20
21800,5,6,20
20600,6,6,20
21200,6,6,20
19100,6,6,20
20600,6,6,20
15200,6,5,20
7000,6,5,20
8100,6,5,20
13600,6,6,20
20100,6,6,20
21800,6,6,19
24499,6,6,19
23100,6,6,19
19700,6,5,19
18300,6,6,19
21200,6,6,19
17500,6,6,19
16800,6,6,19
22400,6,7,21
20600,6,6,21
23899,6,7,21
22000,6,7,21
11900,6,6,21
